mySQLProjectId	ownerLogin/projName	SOId	ghLogin	ghMySQLId	ghMongoDBId
6093	JuliaLang/julia	112019	ivarne	705670	131616
6093	JuliaLang/julia	881334	amckinlay	412408	1351003
6093	JuliaLang/julia	587034	maleadt	193902	383068
6093	JuliaLang/julia	2240310	cbecker	288180	26833
6093	JuliaLang/julia	479532	certik	10404	20568
6093	JuliaLang/julia	857141	simonster	70928	470884
6093	JuliaLang/julia	1522177	karanveerm	2666253	2851732
6093	JuliaLang/julia	2443532	adambrewster	484131	-
6093	JuliaLang/julia	279194	ianfiske	607143	135570
6093	JuliaLang/julia	2552596	ViralBShah	26598	744411
6093	JuliaLang/julia	2413179	nalimilan	753728	1120448
6093	JuliaLang/julia	230778	staticfloat	11429	130920
6093	JuliaLang/julia	1789651	bsilbaugh	2455471	5266355
6093	JuliaLang/julia	1539868	cmundi	74780	471759
6093	JuliaLang/julia	6967	jdp	131122	574
6093	JuliaLang/julia	1922284	stevengj	1222369	2913679
6093	JuliaLang/julia	2359920	waTeim	3236889	5779395
6093	JuliaLang/julia	103640	RhysU	66684	85419
6093	JuliaLang/julia	296155	milktrader	146081	324836
6093	JuliaLang/julia	171965	hammer	26155	15233
6093	JuliaLang/julia	176071	mbauman	251502	154641
6093	JuliaLang/julia	1380003	loladiro	26566	1291671
6093	JuliaLang/julia	194948	andychu	403235	143248
6093	JuliaLang/julia	695132	szhorvat	142436	1212871
6093	JuliaLang/julia	1220355	Aerlinger	372831	604138
6093	JuliaLang/julia	139802	drewm1980	991483	-
6093	JuliaLang/julia	880987	kmsquire	164141	223250
6093	JuliaLang/julia	162181	futureperfect	38279	4185
6093	JuliaLang/julia	334816	danluu	486286	157136
6093	JuliaLang/julia	394649	deinst	2527956	1570028
6093	JuliaLang/julia	805798	one-more-minute	642683	-
6093	JuliaLang/julia	367650	bpowers	83912	854918
6093	JuliaLang/julia	525694	bdsatish	84856	580412
6093	JuliaLang/julia	1168848	floswald	242600	1021558
6093	JuliaLang/julia	164611	shabbychef	890639	1456159
6093	JuliaLang/julia	845766	zingales	717643	-
6093	JuliaLang/julia	744008	astrieanna	141375	1205394
6093	JuliaLang/julia	1739271	Calder	1028079	52222
6093	JuliaLang/julia	1526012	scidom	1646334	2519036
6093	JuliaLang/julia	1629224	karbarcca	1314823	2896623
6093	JuliaLang/julia	426443	johnmyleswhite	26637	22064
6093	JuliaLang/julia	105880	pao	26634	140497
6093	JuliaLang/julia	135944	HarlanH	26631	130809
6093	JuliaLang/julia	714910	davidavdav	2576634	5497303
6093	JuliaLang/julia	90278	dancasimiro	707906	-
6093	JuliaLang/julia	1472080	catawbasam	870708	1277811
