mySQLProjectId	owner/projName	COMMUNITY_WITH_(AT_LEAST_ONE_SO_Q_OR_A)_(PROJECT_MEMBERS_AND_COMMITTERS_AND_ISSUE_ASSIGNEES_AND_ISSUE_REPORTERS)
1334	rails/rails	822
37	angular/angular.js	182
3214347	dotcloud/docker	169
1142	saltstack/salt	167
392	adobe/brackets	123
288	mozilla/rust	122
2093	fog/fog	117
14915	travis-ci/travis-ci	102
202	mozilla-b2g/gaia	97
12558	lift/framework	96
4095	elasticsearch/elasticsearch	79
6093	JuliaLang/julia	73
3825551	bundler/bundler	69
10408	Khan/khan-exercises	61
4135	scala/scala	57
55	yui/yui3	54
1771	NServiceBus/NServiceBus	51
3929178	edx/edx-platform	40
1654	html5rocks/www.html5rocks.com	37
5768596	TryGhost/Ghost	28
